id_circo,Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Etat saisie,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,Sièges,N°Panneau.1,Sexe.1,Nom.1,Prénom.1,Nuance.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1,Sièges.1,N°Panneau.2,Sexe.2,Nom.2,Prénom.2,Nuance.2,Voix.2,% Voix/Ins.2,% Voix/Exp.2,Sièges.2,N°Panneau.3,Sexe.3,Nom.3,Prénom.3,Nuance.3,Voix.3,% Voix/Ins.3,% Voix/Exp.3,Sièges.3,N°Panneau.4,Sexe.4,Nom.4,Prénom.4,Nuance.4,Voix.4,% Voix/Ins.4,% Voix/Exp.4,Sièges.4,N°Panneau.5,Sexe.5,Nom.5,Prénom.5,Nuance.5,Voix.5,% Voix/Ins.5,% Voix/Exp.5,Sièges.5,N°Panneau.6,Sexe.6,Nom.6,Prénom.6,Nuance.6,Voix.6,% Voix/Ins.6,% Voix/Exp.6,Sièges.6,N°Panneau.7,Sexe.7,Nom.7,Prénom.7,Nuance.7,Voix.7,% Voix/Ins.7,% Voix/Exp.7,Sièges.7,N°Panneau.8,Sexe.8,Nom.8,Prénom.8,Nuance.8,Voix.8,% Voix/Ins.8,% Voix/Exp.8,Sièges.8,N°Panneau.9,Sexe.9,Nom.9,Prénom.9,Nuance.9,Voix.9,% Voix/Ins.9,% Voix/Exp.9,Sièges.9,N°Panneau.10,Sexe.10,Nom.10,Prénom.10,Nuance.10,Voix.10,% Voix/Ins.10,% Voix/Exp.10,Sièges.10,N°Panneau.11,Sexe.11,Nom.11,Prénom.11,Nuance.11,Voix.11,% Voix/Ins.11,% Voix/Exp.11,Sièges.11,N°Panneau.12,Sexe.12,Nom.12,Prénom.12,Nuance.12,Voix.12,% Voix/Ins.12,% Voix/Exp.12,Sièges.12,N°Panneau.13,Sexe.13,Nom.13,Prénom.13,Nuance.13,Voix.13,% Voix/Ins.13,% Voix/Exp.13,Sièges.13,N°Panneau.14,Sexe.14,Nom.14,Prénom.14,Nuance.14,Voix.14,% Voix/Ins.14,% Voix/Exp.14,Sièges.14,N°Panneau.15,Sexe.15,Nom.15,Prénom.15,Nuance.15,Voix.15,% Voix/Ins.15,% Voix/Exp.15,Sièges.15,N°Panneau.16,Sexe.16,Nom.16,Prénom.16,Nuance.16,Voix.16,% Voix/Ins.16,% Voix/Exp.16,Sièges.16,N°Panneau.17,Sexe.17,Nom.17,Prénom.17,Nuance.17,Voix.17,% Voix/Ins.17,% Voix/Exp.17,Sièges.17,N°Panneau.18,Sexe.18,Nom.18,Prénom.18,Nuance.18,Voix.18,% Voix/Ins.18,% Voix/Exp.18,Sièges.18,N°Panneau.19,Sexe.19,Nom.19,Prénom.19,Nuance.19,Voix.19,% Voix/Ins.19,% Voix/Exp.19,Sièges.19,N°Panneau.20,Sexe.20,Nom.20,Prénom.20,Nuance.20,Voix.20,% Voix/Ins.20,% Voix/Exp.20,Sièges.20,N°Panneau.21,Sexe.21,Nom.21,Prénom.21,Nuance.21,Voix.21,% Voix/Ins.21,% Voix/Exp.21,Sièges.21
0,01,Ain,1,1ère circonscription,Complet,86187,43652,50.65,42535,49.35,490,0.57,1.15,234,0.27,0.55,41811,48.51,98.3,2,M,LAHY,Éric,DXG,391,0.45,0.94,,8,M,GUÉRAUD,Sébastien,NUP,9982,11.58,23.87,,7,F,ARMENJON,Eliane,ECO,1161,1.35,2.78,,1,M,GUILLERMIN,Vincent,ENS,8071,9.36,19.3,,3.0,M,BRETON,Xavier,LR,10599.0,12.3,25.35,,5.0,M,MENDES,Michael,DSV,641.0,0.74,1.53,,6.0,M,BELLON,Julien,REC,1995.0,2.31,4.77,,4.0,F,PIROUX GIANNOTTI,Brigitte,RN,8971.0,10.41,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01,Ain,2,2ème circonscription,Complet,99953,50270,50.29,49683,49.71,629,0.63,1.27,168,0.17,0.34,48886,48.91,98.4,3,M,GOUTAGNY,Vincent,DXG,415,0.42,0.85,,1,F,LAPRAY,Lumir,NUP,12428,12.43,25.42,,8,M,IGLÉSIS,Thomas,ECO,653,0.65,1.34,,7,M,MARTET,Colin,DIV,265,0.27,0.54,,2.0,M,DAUBIÉ,Romain,ENS,12916.0,12.92,26.42,,5.0,M,NANCHI,Alexandre,LR,7192.0,7.2,14.71,,4.0,M,BARATAY,Denis,DVD,618.0,0.62,1.26,,10.0,F,CARRIER,Delphine,DSV,653.0,0.65,1.34,,6.0,M,COSTA,Alexandre,REC,2392.0,2.39,4.89,,9.0,M,EYRAUD,Olivier,RN,11354.0,11.36,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01,Ain,3,3ème circonscription,Complet,82204,45945,55.89,36259,44.11,385,0.47,1.06,145,0.18,0.4,35729,43.46,98.54,10,F,MAISONNETTE,Cécile,DXG,281,0.34,0.79,,6,M,JOLIE,Christian,NUP,7990,9.72,22.36,,8,M,KASTLER,Jean-Loup,ECO,1763,2.14,4.93,,11,F,MORVAN LEMBERT,Marine,ECO,530,0.64,1.48,,4.0,M,FERTE,Maxence,DIV,0.0,0.0,0.0,,9.0,M,KOUASSI,Fulgence,DIV,596.0,0.73,1.67,,3.0,F,GIVERNET,Olga,ENS,10704.0,13.02,29.96,,12.0,M,BISETTI,Frank,DVC,69.0,0.08,0.19,,7.0,F,BAUDE,Véronique,LR,6425.0,7.82,17.98,,2.0,M,VERGNAS,Thierry,DSV,543.0,0.66,1.52,,1.0,F,DUBARRY,Karine,REC,1835.0,2.23,5.14,,5.0,M,FRANCK,Frédéric,RN,4993.0,6.07,13.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01,Ain,4,4ème circonscription,Complet,94897,49258,51.91,45639,48.09,638,0.67,1.4,209,0.22,0.46,44792,47.2,98.14,5,M,COUSSON,Sylvain,DXG,308,0.32,0.69,,6,M,BENMEDJAHED,Ali,RDG,2215,2.33,4.95,,7,M,LERDA,Philippe,NUP,7786,8.2,17.38,,2,M,DEFRASNE,Alban,DVG,11,0.01,0.02,,3.0,M,FAVRE,Nicolas,ECO,1119.0,1.18,2.5,,10.0,F,SEGUIN,Isabelle,ENS,7317.0,7.71,16.34,,12.0,M,TROMPILLE,Stéphane,DVC,4211.0,4.44,9.4,,1.0,M,REIHANIAN,Aurane,LR,7198.0,7.59,16.07,,9.0,M,FORCA,Sacha,DVD,443.0,0.47,0.99,,11.0,F,VEILLEROT,Annick,DSV,562.0,0.59,1.25,,8.0,M,DE BOYSSON,Benoît,REC,2506.0,2.64,5.59,,4.0,M,BUISSON,Jérôme,RN,11116.0,11.71,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01,Ain,5,5ème circonscription,Complet,77456,40382,52.14,37074,47.86,820,1.06,2.21,206,0.27,0.56,36048,46.54,97.23,8,F,CROZET,Sylvie,DXG,414,0.53,1.15,,5,F,PISANI,Florence,NUP,8485,10.95,23.54,,9,M,BOULMÉ,Jean-Michel,DVG,281,0.36,0.78,,3,M,YILMAZ,Celil,DIV,704,0.91,1.95,,10.0,M,MARTINEZ,Julien,LR,3580.0,4.62,9.93,,4.0,M,ABAD,Damien,DVD,12034.0,15.54,33.38,,6.0,F,PARIS,Stéphanie,DVD,931.0,1.2,2.58,,2.0,M,FABRIS,Grégory,DSV,436.0,0.56,1.21,,1.0,M,TOURNIER-BILLON,Philippe,REC,2073.0,2.68,5.75,,7.0,F,NAMBOTIN,Joëlle,RN,7110.0,9.18,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,02,Aisne,1,1ère circonscription,Complet,72479,37772,52.11,34707,47.89,546,0.75,1.57,227,0.31,0.65,33934,46.82,97.77,3,M,PERNELLE,Jean-Loup,DXG,500,0.69,1.47,,4,M,FENIOUX,Olivier,NUP,6463,8.92,19.05,,1,F,BONO-VANDORME,Aude,ENS,7939,10.95,23.4,,8,M,MOUGENOT,Paul,LR,3853,5.32,11.35,,5.0,F,RIBEIRO,Carole,DVD,2052.0,2.83,6.05,,6.0,M,DEGOUY,Michel,DSV,570.0,0.79,1.68,,2.0,M,CAUCHY,Benjamin,REC,1312.0,1.81,3.87,,7.0,M,DRAGON,Nicolas,RN,11245.0,15.51,33.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,02,Aisne,2,2ème circonscription,Complet,73176,39923,54.56,33253,45.44,473,0.65,1.42,187,0.26,0.56,32593,44.54,98.02,3,F,ZANDITÉNAS,Anne,DXG,315,0.43,0.97,,1,M,RANSQUIN,Sulyvan,NUP,5757,7.87,17.66,,7,F,BÉCOURT,Corinne,DVG,505,0.69,1.55,,6,M,LEPEUPLE,Eric,DIV,288,0.39,0.88,,5.0,F,EL OUASDI,Fatima,ENS,3755.0,5.13,11.52,,2.0,M,DIVE,Julien,LR,11704.0,15.99,35.91,,8.0,F,AMEWOUI,Cécé,REC,938.0,1.28,2.88,,4.0,F,PUISSANT,Lola,RN,9331.0,12.75,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,02,Aisne,3,3ème circonscription,Complet,66709,36374,54.53,30335,45.47,626,0.94,2.06,248,0.37,0.82,29461,44.16,97.12,1,F,VOISIN,Laetitia,DXG,762,1.14,2.59,,6,M,BRICOUT,Jean-Louis,NUP,13518,20.26,45.88,,4,M,MOINEUSE,Jérome,LR,3584,5.37,12.17,,5,F,CHOTIN,Agnès,DSV,462,0.69,1.57,,2.0,M,BERNARDEAU,Hervé,REC,1617.0,2.42,5.49,,3.0,M,HANSEN-CATTA,Paul-Henry,RN,9518.0,14.27,32.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,02,Aisne,4,4ème circonscription,Complet,78792,44526,56.51,34266,43.49,548,0.7,1.6,201,0.26,0.59,33517,42.54,97.81,5,F,BOUILLAGUET,Flora,DXG,652,0.83,1.95,,2,M,GALL,Aurélien,NUP,7461,9.47,22.26,,6,M,DELATTE,Marc,ENS,7632,9.69,22.77,,3,M,BOBIN,David,LR,4300,5.46,12.83,,7.0,M,CRÉON,Damien,DSV,689.0,0.87,2.06,,4.0,F,VICENTE,Vanessa,REC,810.0,1.03,2.42,,1.0,M,BEAURAIN,José,RN,11973.0,15.2,35.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,02,Aisne,5,5ème circonscription,Complet,83141,43824,52.71,39317,47.29,588,0.71,1.5,191,0.23,0.49,38538,46.35,98.02,1,M,GARCIA,Francis,DXG,515,0.62,1.34,,7,M,FRERE,Stéphane,NUP,7265,8.74,18.85,,6,F,VACCA,Françoise,ECO,892,1.07,2.31,,3,F,ROUSSEL,Jeanne,ENS,6214,7.47,16.12,,2.0,M,EUGÈNE,Sébastien,DVC,6093.0,7.33,15.81,,9.0,F,GILQUIN,Jade,LR,1873.0,2.25,4.86,,8.0,M,BOLLÉE,Joffrey,DSV,714.0,0.86,1.85,,5.0,F,TRIBOULET,Florence,REC,1400.0,1.68,3.63,,4.0,M,DESSIGNY,Jocelyn,RN,13572.0,16.32,35.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
